date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:18	71465/71465	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:16%20GMT	https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/finanzas-y-startups15ba.html	(from )
17:09:19	45/45	---M--	200	added ('OK')	text/plain	date:Sun,%2004%20Aug%202024%2020:05:19%20GMT	https://icbargentina.com/robots.txt		(from )
17:09:21	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/Mis%20lugares%20Web/FINANZAS/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:21	21682/21682	---M-Z	200	added ('OK')	text/css	etag:%225eb03ea6-54b2%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/css/intlTelInput.css	C:/Mis%20lugares%20Web/FINANZAS/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/css/intlTelInput.css	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:22	181717/181717	---MCZ	200	added ('OK')	text/css	etag:W/%2264304f6f-2c5d5%22	https://icbargentina.com/static/new/theme.css?v=20230407-01	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/theme6987.css	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:22	2910/2910	---MCZ	200	added ('OK')	text/css	etag:W/%2265b424e5-b5e%22	https://icbargentina.com/static/new/common.css?v=20240126-01	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/commone5f4.css	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:23	677/677	---M--	200	added ('OK')	text/css	etag:%225cfdf8ec-2a5%22	https://icbargentina.com/static/new/carousel_multi.css	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/carousel_multi.css	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:24	71174/71174	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2020:05:24%20GMT	https://icbargentina.com/capacitacion/finanzas-y-startups	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/capacitacion/finanzas-y-startups.html	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:24	18094/18094	---M--	200	added ('OK')	image/png	etag:%225f563f1c-46ae%22	https://icbargentina.com/static/blog/img/logo/logo-cuadrado-v.png	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/blog/img/logo/logo-cuadrado-v.png	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2004%20Aug%202024%2020:09:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/FINANZAS/www.googletagmanager.com/gtm.95445.delayed	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
